drawing_key,split,phase,normalized_json_path,topology_json_path,status,node_count,edge_count,candidate_segment_count,net_count,topology_ready,largest_net_edges,isolated_edge_count,isolated_edge_ratio,largest_net_edge_ratio,skipped_short_segments,skipped_same_node_segments,graph_bbox,edge_type_count_json,effective_endpoint_tolerance,quality_flags
_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.topology.v0.json,ok,2765,2016,2067,966,True,18,506,0.251,0.0089,0,51,"5.0441,-283.9118,1230.8035,558.7291","{""LINE"": 823, ""LWPOLYLINE"": 1193}",0.7815,
_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.topology.v0.json,ok,5628,5866,5949,1769,True,20,901,0.1536,0.0034,10,73,"-9.1189,-337.2136,786.2267,558.2525","{""LINE"": 4974, ""LWPOLYLINE"": 892}",0.6231,
_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.topology.v0.json,ok,2866,2026,2087,924,True,10,466,0.23,0.0049,0,61,"6.1333,-288.6973,806.0,559.2234","{""LINE"": 1246, ""LWPOLYLINE"": 780}",0.6196,
_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.topology.v0.json,ok,2630,2464,2476,793,True,16,365,0.1481,0.0065,12,0,"3.0175,-313.3231,559.0,396.7494","{""LINE"": 2097, ""LWPOLYLINE"": 367}",0.4742,
_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.topology.v0.json,ok,1876,1293,1301,651,True,37,455,0.3519,0.0286,2,6,"18.4169,-315.4397,559.0,386.6357","{""LINE"": 693, ""LWPOLYLINE"": 600}",0.4651,
_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.topology.v0.json,ok,1614,938,938,722,True,5,596,0.6354,0.0053,0,0,"9.6848,-312.9727,541.4607,384.3762","{""LINE"": 460, ""LWPOLYLINE"": 478}",0.4591,
_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.topology.v0.json,ok,2083,1322,1344,933,True,22,846,0.6399,0.0166,22,0,"8.5933,-322.2083,696.8643,385.1985","{""LINE"": 1140, ""LWPOLYLINE"": 182}",1.0,
_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.topology.v0.json,ok,5272,3500,3591,1973,True,17,1284,0.3669,0.0049,4,87,"4.4257,-304.1544,814.5271,541.673","{""LINE"": 3145, ""LWPOLYLINE"": 355}",0.6038,
_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com,val,P1,outputs/normalized_geometry/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.topology.v0.json,ok,5489,3192,3192,2505,True,6,2189,0.6858,0.0019,0,0,"16.0306,-325.146,929.8364,565.1927","{""LINE"": 1500, ""LWPOLYLINE"": 1692}",0.6854,
_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.topology.v0.json,ok,4048,3147,4239,1424,True,31,873,0.2774,0.0099,1066,26,"6.3418,-315.5228,1118.1552,392.7526","{""LINE"": 2837, ""LWPOLYLINE"": 310}",0.7041,
_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com,train,P1,outputs/normalized_geometry/_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.topology.v0.json,ok,4547,2780,2844,1941,True,6,1518,0.546,0.0022,24,40,"42.6459,-366.5561,929.0215,525.5864","{""LINE"": 870, ""LWPOLYLINE"": 1910}",0.684,
