panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action,model_review_label,model_confidence,model_needs_human_review,model_reason,model_visible_cues,topology_panel_v1_review_label,topology_panel_v1_review_comment,topology_panel_v1_reviewed,topology_panel_v1_accepted,topology_panel_v1_exclude_reason
_P2_staging/体育场变电所电气平面图wm666.taobao.com#panel_000,_P2_staging/体育场变电所电气平面图wm666.taobao.com,train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/体育场变电所电气平面图wm666.taobao.com.png,"-788400.2734,-674814.2869,1574602.2833,341869.998",,,,error,,0,0,0,0,0,0,0,0,0,0.0,0.0,,error,critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",needs_panel_split,0.99,True,The image contains multiple independent separated diagram panels each with unique identifiers that require splitting prior to topology graph generation.,"Multiple distinct bordered drawing panels with unique labels (e.g. 1#B 33, 2#B 39) are present; Each panel is a self-contained independent diagram with separate content and layout",bad_geometry,,True,False,bad_geometry
_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-1).png,"494.2153,-233.2141,501.7153,-225.7141",outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000.topology.v1.json,ok,,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0053,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.98,True,"The panel has no detectable topology elements, is effectively blank, and cannot be used for topology graph extraction.","No visible wiring, symbols, or topology diagram content; All v1 node, edge, and net counts are 0; Quality flags indicate no edges or nets are present",bad_geometry,"model: The panel has no detectable topology elements, is effectively blank, and cannot be used for topology graph extraction.",True,False,bad_geometry
_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-2),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-2).png,"0.0,-232.8889,503.1412,0.0",outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.2772,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.98,True,"The panel has no detectable topology elements and is nearly unreadable, making it unusable for topology graph extraction.","Extremely faint, barely visible drawing lines with no clear topology content; All v1 topology counts (nodes, edges, nets) are 0; Quality flags indicate no edges or nets are present",bad_geometry,"model: The panel has no detectable topology elements and is nearly unreadable, making it unusable for topology graph extraction.",True,False,bad_geometry
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-1).png,"491.5964,-236.4419,505.1697,-225.8778",outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0086,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.95,True,"Extremely faint linework is nearly unreadable against the white background, resulting in no usable topology elements extracted.","Faint light gray lines are barely perceptible on white background; v1 topology extraction returned zero nodes, edges, and nets",bad_geometry,"model: Extremely faint linework is nearly unreadable against the white background, resulting in no usable topology elements extracted.",True,False,bad_geometry
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-2).png,"0.0,-236.6947,505.4455,0.0",outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2791,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,still_fragmented,0.9,True,"Extracted topology has zero nodes, edges, and nets, so it is completely fragmented and not usable as a baseline graph.",Quality flags note no edges and no nets detected; All v1 graph element counts are 0,bad_geometry,,True,False,bad_geometry
_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-1).png,"497.0407,-232.9902,502.0407,-226.7402",outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-1).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.004,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.9,True,"No valid topology elements are detected in the panel, making it unusable for topology graph generation.","All v1 edge, node, net counts are 0; Quality flags indicate no edges or nets present; Image only contains faint empty circles with no topology content",bad_geometry,,True,False,bad_geometry
_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-2),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-2).png,"0.0,-232.5544,501.6102,0.0",outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-2).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2764,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.92,True,The panel contains only a standalone electrical symbol rather than a complete wiring/topology graph target.,"Only GB 4728 pole-mounted substation symbol is present; Extracted topology has 0 nodes, 0 edges, 0 nets, no topology structure exists",bad_geometry,,True,False,bad_geometry
_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000,_P2_staging/移动变电所 (gb4728-11_2.12-2),val,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728-11_2.12-2).png,"0.0,-233.5102,501.2087,0.0",outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728-11_2.12-2).normalized.json,outputs/topology_graph/_P2_staging/移动变电所 (gb4728-11_2.12-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000.topology.v1.json,ok,,4,0,0,0,0,0,0,0,0,0.0,0.0,0.2765,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.9,True,"Extremely faint linework makes the diagram nearly unreadable, with no valid topology edges or nodes detected.","Almost invisible faint lines on near-white background; Topology metadata reports 0 edges, 0 nodes, 0 nets",bad_geometry,"model: Extremely faint linework makes the diagram nearly unreadable, with no valid topology edges or nodes detected.",True,False,bad_geometry
_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000,_P2_staging/移动变电所 (gb4728_11_2.12-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728_11_2.12-1).png,"496.2153,-231.7991,501.2153,-225.9678",outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728_11_2.12-1).normalized.json,outputs/topology_graph/_P2_staging/移动变电所 (gb4728_11_2.12-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0038,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.9,True,"No detectable topology edges, nodes, or nets exist in the panel, with effectively no usable topology content present.","Only faint outline shapes are visible, no wiring, device symbols, or topology connections appear; All v1 topology counts (nodes, edges, nets) are 0, with 0 base segments detected",bad_geometry,"model: No detectable topology edges, nodes, or nets exist in the panel, with effectively no usable topology content present.",True,False,bad_geometry
_P2_staging/运行的移动变电站#panel_000,_P2_staging/运行的移动变电站,test,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/运行的移动变电站.png,"903.3947,572.2067,915.3947,582.2067",outputs/normalized_geometry/_P2_staging/运行的移动变电站.normalized.json,outputs/topology_graph/_P2_staging/运行的移动变电站.topology.v0.json,outputs/topology_panel_v1/_P2_staging/运行的移动变电站#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0078,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.9,True,"No detectable topology elements or valid graph content present, panel is unusable for topology graph generation.","All v1 topology counts (nodes, edges, nets) are 0; No visible wiring, device symbols, or terminal anchors present in the panel image",bad_geometry,"model: No detectable topology elements or valid graph content present, panel is unusable for topology graph generation.",True,False,bad_geometry
