severity,anomaly_type,suggested_action,panel_id,parent_drawing_key,split,phase,status,error,quality_flags,panel_entity_count,base_segment_count,split_segment_count,intersection_count,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,panel_png_path,topology_v1_panel_json_path
critical,truncated_max_segments,Review extremely dense graph; raise max_segments only if visually valid.,_P2_staging/变电所修#panel_000,_P2_staging/变电所修,val,P2,truncated_max_segments,,,8989,7532,430825,215106,78745,219846,223,0.0005,0.6656,datas/qa_and_png/P2_oda_output/变电所修.png,outputs/topology_panel_v1/_P2_staging/变电所修#panel_000.topology.v1.json
critical,truncated_max_segments,Review extremely dense graph; raise max_segments only if visually valid.,_P2_staging/变电所修__479#panel_000,_P2_staging/变电所修__479,val,P2,truncated_max_segments,,,8989,7532,430825,215106,78745,219846,223,0.0005,0.6656,datas/qa_and_png/P2_oda_output/变电所修__479.png,outputs/topology_panel_v1/_P2_staging/变电所修__479#panel_000.topology.v1.json
critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",_P2_staging/SGT-变电所设备布置平面图#panel_000,_P2_staging/SGT-变电所设备布置平面图,train,P2,error,,error,0,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/SGT-变电所设备布置平面图.png,
critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",_P2_staging/体育场变电所电气平面图wm666.taobao.com#panel_000,_P2_staging/体育场变电所电气平面图wm666.taobao.com,train,P2,error,,error,0,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/体育场变电所电气平面图wm666.taobao.com.png,
critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",_P2_staging/某降压变电站设计#panel_000,_P2_staging/某降压变电站设计,train,P2,error,,error,0,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/某降压变电站设计.png,
critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",_P2_staging/某降压变电站设计wm666.taobao.com#panel_000,_P2_staging/某降压变电站设计wm666.taobao.com,train,P2,error,,error,0,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/某降压变电站设计wm666.taobao.com.png,
critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",_P3_staging_batch3/泉州涂门街中段保护与改建电气设计#panel_000,_P3_staging_batch3/泉州涂门街中段保护与改建电气设计,train,P3,error,,error,0,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P3_oda_output/泉州涂门街中段保护与改建电气设计.png,
critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com,test,P3,error,,error,0,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com.png,
critical,error,"Inspect parent normalized/topology paths or geometry payload, then rerun this row.",_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29#panel_000,_P3_staging_batch3/道窖500KVA变配电工程wm666.taobao.com__29,val,P3,error,,error,0,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P3_oda_output/道窖500KVA变配电工程wm666.taobao.com__29.png,
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,train,P1,ok,,no_edges;no_nets,124,0,0,0,0,0,0,0.0,0.0,outputs/panels/P1/P1_staging__05电气主接线__panel_001.png,outputs/topology_panel_v1/_P1_staging/05电气主接线#panel_001.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/35KV变电所设计#panel_001,_P2_staging/35KV变电所设计,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__35KV变电所设计__panel_001.png,outputs/topology_panel_v1/_P2_staging/35KV变电所设计#panel_001.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-1),train,P2,ok,,no_edges;no_nets,1,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-1).png,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-2),train,P2,ok,,no_edges;no_nets,2,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-2).png,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所全套图纸wm666.taobao.com#panel_001,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,ok,,no_edges;no_nets,1,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_001.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_001.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所全套图纸wm666.taobao.com#panel_003,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_003.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_003.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所全套图纸wm666.taobao.com#panel_004,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_004.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_004.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所全套图纸wm666.taobao.com#panel_005,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_005.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_005.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所全套图纸wm666.taobao.com#panel_006,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_006.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_006.topology.v1.json
