panel_id,agent,agent_model,agent_modality,agent_label,agent_confidence,is_single_panel,is_topology_target,has_visible_watermark,geometry_usable,agent_reason,agent_visible_cues,elapsed_sec,error,raw_response
_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG))#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"Single coherent terminal wiring topology diagram with no quality defects, meets clean benchmark requirements.","Single unified panel with standard engineering title block integrated as part of the diagram; Clear, readable terminal and connection topology for #1 main transformer 110kV side switch mechanism box; No visible watermarks, corruption, or fragmented graph elements",21.164,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""Single coherent terminal wiring topology diagram with no quality defects, meets clean benchmark requirements."",
  ""visible_cues"": [""Single unified panel with standard engineering title block integrated as part of the diagram"", ""Clear, readable terminal and connection topology for #1 main transformer 110kV side switch mechanism box"", ""No visible watermarks, corruption, or fragmented graph elements""]
}"
_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG))#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"Single coherent terminal wiring topology diagram with no quality defects, suitable as clean benchmark sample","Single 110kV switch mechanism box terminal row wiring topology diagram; No overlay watermarks, standard title block is native drawing metadata; All terminals, connection lines and labels are legible; No independent subfigures present",15.117,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""Single coherent terminal wiring topology diagram with no quality defects, suitable as clean benchmark sample"",
  ""visible_cues"": [""Single 110kV switch mechanism box terminal row wiring topology diagram"", ""No overlay watermarks, standard title block is native drawing metadata"", ""All terminals, connection lines and labels are legible"", ""No independent subfigures present""]
}"
_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG))#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"The image is a single coherent 110kV line switch mechanism box terminal wiring topology diagram with no quality defects, eligible as a clean benchmark sample.","Single unified terminal wiring topology, no independent subfigures; No visible third-party watermarks; Clear readable terminals and wiring connections; Standard official engineering title block that is not obstructive",15.159,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image is a single coherent 110kV line switch mechanism box terminal wiring topology diagram with no quality defects, eligible as a clean benchmark sample."",
  ""visible_cues"": [""Single unified terminal wiring topology, no independent subfigures"", ""No visible third-party watermarks"", ""Clear readable terminals and wiring connections"", ""Standard official engineering title block that is not obstructive""]
}"
_P2_staging/35kV并联电抗器在监控柜上的端子排(B066-500-1904)wm666.taobao.com#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,0.98,True,True,False,True,"Single coherent terminal wiring topology diagram with complete valid node/edge anchors, no quality issues present","Single independent 35kV shunt reactor terminal wiring panel without multiple subfigures; No visible watermarks or content corruption; Clear terminal symbols, connection edges and complete topology structure; Title block is part of the same diagram, not independent subfigure",44.895,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 0.98,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""Single coherent terminal wiring topology diagram with complete valid node/edge anchors, no quality issues present"",
  ""visible_cues"": [""Single independent 35kV shunt reactor terminal wiring panel without multiple subfigures"", ""No visible watermarks or content corruption"", ""Clear terminal symbols, connection edges and complete topology structure"", ""Title block is part of the same diagram, not independent subfigure""]
}"
_P3_staging_batch1/07(通信回路背面接线图 )#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"The image contains one complete, legible communication circuit wiring topology diagram with no quality defects, meeting the clean benchmark requirements.","Single coherent wiring topology diagram, no independent subfigures; No visible watermarks, corruption, or illegible content; All terminal symbols, device nodes, and connection edges are clearly present; It is a valid electrical wiring topology target, not a layout/arrangement drawing",14.907,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image contains one complete, legible communication circuit wiring topology diagram with no quality defects, meeting the clean benchmark requirements."",
  ""visible_cues"": [""Single coherent wiring topology diagram, no independent subfigures"", ""No visible watermarks, corruption, or illegible content"", ""All terminal symbols, device nodes, and connection edges are clearly present"", ""It is a valid electrical wiring topology target, not a layout/arrangement drawing""]
}"
_P3_staging_batch1/07(通信回路背面接线图)#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"Single coherent communication circuit back wiring topology diagram with no quality issues, suitable as clean benchmark sample.","Single unified wiring topology diagram with CPU modules, wiring connections, and terminal assignment table; No visible watermarks, corruption, or fragmented subfigures; All topology elements are readable and geometry is intact; Consists of one coherent complete wiring diagram without separate independent subfigures",15.44,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""Single coherent communication circuit back wiring topology diagram with no quality issues, suitable as clean benchmark sample."",
  ""visible_cues"": [
    ""Single unified wiring topology diagram with CPU modules, wiring connections, and terminal assignment table"",
    ""No visible watermarks, corruption, or fragmented subfigures"",
    ""All topology elements are readable and geometry is intact"",
    ""Consists of one coherent complete wiring diagram without separate independent subfigures""
  ]
}"
_P3_staging_batch1/09(通信回路背面接线图)#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"The image is a single coherent communication circuit wiring topology diagram with no quality defects, existing valid semantic anchors, and meets all clean benchmark requirements.",Single complete topology panel without independent subfigures; No visible watermark or source mark; Readable clear wiring topology with terminals and connection lines; Valid existing node/edge anchors confirmed by metadata,14.086,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image is a single coherent communication circuit wiring topology diagram with no quality defects, existing valid semantic anchors, and meets all clean benchmark requirements."",
  ""visible_cues"": [""Single complete topology panel without independent subfigures"", ""No visible watermark or source mark"", ""Readable clear wiring topology with terminals and connection lines"", ""Valid existing node/edge anchors confirmed by metadata""]
}"
_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图)#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"The image is a single coherent 10kV switchgear cabinet top small busbar wiring topology diagram with no quality defects, complete valid nodes and edges, suitable as a clean benchmark sample.","Single unified busbar arrangement wiring topology diagram; No visible watermarks, corruption or unreadable content; Standard engineering drawing title block is part of the diagram not an independent subfigure; All connection edges and terminal symbols are clearly presented",20.03,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image is a single coherent 10kV switchgear cabinet top small busbar wiring topology diagram with no quality defects, complete valid nodes and edges, suitable as a clean benchmark sample."",
  ""visible_cues"": [""Single unified busbar arrangement wiring topology diagram"", ""No visible watermarks, corruption or unreadable content"", ""Standard engineering drawing title block is part of the diagram not an independent subfigure"", ""All connection edges and terminal symbols are clearly presented""]
}"
_P3_staging_batch1/QA-D601-03(10kV#1(#2)站变柜端子排图)#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,0.99,True,True,False,True,"The image is a single coherent 10kV station transformer cabinet terminal row wiring topology diagram with no quality defects, suitable as a clean benchmark sample.","Single complete terminal wiring topology diagram present; Standard engineering title block is part of the same diagram, no independent separate subfigures; No visible watermarks or content corruption; Readable terminals, connection lines, and network labels exist",17.567,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 0.99,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image is a single coherent 10kV station transformer cabinet terminal row wiring topology diagram with no quality defects, suitable as a clean benchmark sample."",
  ""visible_cues"": [""Single complete terminal wiring topology diagram present"", ""Standard engineering title block is part of the same diagram, no independent separate subfigures"", ""No visible watermarks or content corruption"", ""Readable terminals, connection lines, and network labels exist""]
}"
_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"The image contains one coherent terminal wiring topology diagram with no quality defects, independent subfigures, or visible watermarks, suitable as a clean benchmark sample.","Single terminal block wiring topology for #2备用分支 in microcomputer protection cabinet; Standard title block is part of the same diagram, not an independent subfigure; No visible watermarks, corruption or illegible content; Clear terminal symbols and connecting lines are present",22.664,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image contains one coherent terminal wiring topology diagram with no quality defects, independent subfigures, or visible watermarks, suitable as a clean benchmark sample."",
  ""visible_cues"": [""Single terminal block wiring topology for #2备用分支 in microcomputer protection cabinet"", ""Standard title block is part of the same diagram, not an independent subfigure"", ""No visible watermarks, corruption or illegible content"", ""Clear terminal symbols and connecting lines are present""]
}"
_P3_staging_batch3/1FWK柜左侧端子排电缆接线图(B066-500-2409)wm666.taobao.com#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,1.0,True,True,False,True,"The image is a single coherent terminal block cable wiring topology diagram, no quality issues, no visible watermarks, complete and readable, suitable as a clean benchmark sample.",Single complete terminal wiring topology diagram; No visible watermarks or corruption; Clear terminal nodes and wiring connections present; Standard footer title block as part of the standard diagram,19.501,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image is a single coherent terminal block cable wiring topology diagram, no quality issues, no visible watermarks, complete and readable, suitable as a clean benchmark sample."",
  ""visible_cues"": [""Single complete terminal wiring topology diagram"", ""No visible watermarks or corruption"", ""Clear terminal nodes and wiring connections present"", ""Standard footer title block as part of the standard diagram""]
}"
_P3_staging_batch3/2FWK柜左侧端子排电缆接线图(B066-500-2411)wm666.taobao.com#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,0.99,True,True,False,True,"The image contains one coherent terminal cable wiring topology diagram with no blocking quality issues, meeting clean benchmark requirements.","Single complete terminal wiring topology diagram with integrated standard title block; No visible watermark printed on image content; Clear readable lines, terminal labels and connection markers; Valid wiring topology target, not a layout or arrangement plan",20.502,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 0.99,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image contains one coherent terminal cable wiring topology diagram with no blocking quality issues, meeting clean benchmark requirements."",
  ""visible_cues"": [""Single complete terminal wiring topology diagram with integrated standard title block"", ""No visible watermark printed on image content"", ""Clear readable lines, terminal labels and connection markers"", ""Valid wiring topology target, not a layout or arrangement plan""]
}"
_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com#panel_002,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,0.99,True,True,False,True,"The image is a single coherent terminal wiring topology diagram with no quality defects, suitable as a clean benchmark sample.","Single complete terminal block wiring topology for main transformer 35kV side circuit breaker; No visible watermarks, corruption or unreadable content; Standard title block is part of the diagram, no independent subfigures present; All connection lines and terminal symbols are clearly distinguishable",21.432,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 0.99,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image is a single coherent terminal wiring topology diagram with no quality defects, suitable as a clean benchmark sample."",
  ""visible_cues"": [
    ""Single complete terminal block wiring topology for main transformer 35kV side circuit breaker"",
    ""No visible watermarks, corruption or unreadable content"",
    ""Standard title block is part of the diagram, no independent subfigures present"",
    ""All connection lines and terminal symbols are clearly distinguishable""
  ]
}"
_P3_staging_batch4/发电机保护屏端子图#panel_003,doubao,doubao-seed-2-0-pro-260215,vision,accept_clean_topology,0.99,True,True,False,True,"The image is a single complete coherent generator protection panel terminal wiring topology diagram with no quality defects, suitable as a clean benchmark sample.","Single coherent terminal wiring topology diagram with no independent subfigures; No visible watermarks, corruption or unreadable content; Clear terminal symbols, connection lines and destination cabinet labels; Usable geometry with all topology components clearly presented",12.955,,"{
  ""label"": ""accept_clean_topology"",
  ""confidence"": 0.99,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The image is a single complete coherent generator protection panel terminal wiring topology diagram with no quality defects, suitable as a clean benchmark sample."",
  ""visible_cues"": [
    ""Single coherent terminal wiring topology diagram with no independent subfigures"",
    ""No visible watermarks, corruption or unreadable content"",
    ""Clear terminal symbols, connection lines and destination cabinet labels"",
    ""Usable geometry with all topology components clearly presented""
  ]
}"
_P3_staging_batch1/06(背面通讯接线图)#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,needs_graph_repair,0.95,True,True,False,True,The topology graph has confirmed over-connection errors that require repair to be a clean benchmark sample.,Single coherent communication wiring topology diagram; No visible watermark or geometric corruption; Known review label marks the graph as over-connected; High intersection count of 474 indicates connection errors,17.073,,"{
  ""label"": ""needs_graph_repair"",
  ""confidence"": 0.95,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The topology graph has confirmed over-connection errors that require repair to be a clean benchmark sample."",
  ""visible_cues"": [""Single coherent communication wiring topology diagram"", ""No visible watermark or geometric corruption"", ""Known review label marks the graph as over-connected"", ""High intersection count of 474 indicates connection errors""]
}"
_P1_staging/某电厂GIS室接地布置图#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,reject_visible_watermark,1.0,True,True,True,True,"Visible design library source watermark with contact and website information is printed on the bottom right of the image, violating no-watermark policy.","Bottom right has explicit '星欣设计图库' (Xingxin Design Library) source mark; Watermark contains website URL www.xingsc.cn, QQ contact numbers, and telephone contact information",23.891,,"{
  ""label"": ""reject_visible_watermark"",
  ""confidence"": 1.0,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": true,
  ""geometry_usable"": true,
  ""reason"": ""Visible design library source watermark with contact and website information is printed on the bottom right of the image, violating no-watermark policy."",
  ""visible_cues"": [""Bottom right has explicit '星欣设计图库' (Xingxin Design Library) source mark"", ""Watermark contains website URL www.xingsc.cn, QQ contact numbers, and telephone contact information""]
}"
_P3_staging_batch1/过电流保护的电磁操作 (gb4728_3_2-20)#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,needs_graph_repair,0.9,True,True,False,True,"The topology graph has fragmented disconnected edges that should form a continuous conductor, requiring repair to correct edge continuity errors.",Single panel containing an electrical schematic symbol segment; Horizontal conductor line split into multiple disconnected segments; 100% of edges are isolated with no connected nets larger than 1 edge,73.167,,"{
  ""label"": ""needs_graph_repair"",
  ""confidence"": 0.9,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The topology graph has fragmented disconnected edges that should form a continuous conductor, requiring repair to correct edge continuity errors."",
  ""visible_cues"": [""Single panel containing an electrical schematic symbol segment"", ""Horizontal conductor line split into multiple disconnected segments"", ""100% of edges are isolated with no connected nets larger than 1 edge""]
}"
_P3_staging_batch1/500KVA有载调压箱变系统图#panel_000,doubao,doubao-seed-2-0-pro-260215,vision,needs_graph_repair,0.9,True,True,False,True,"The diagram is a valid power system topology, but the existing graph annotation has confirmed over-connection errors that need repair.",Single coherent 500KVA box-type substation system topology diagram; No visible watermarks or geometric damage to the diagram; Existing review notes the graph has over-connection issues,15.779,,"{
  ""label"": ""needs_graph_repair"",
  ""confidence"": 0.9,
  ""is_single_panel"": true,
  ""is_topology_target"": true,
  ""has_visible_watermark"": false,
  ""geometry_usable"": true,
  ""reason"": ""The diagram is a valid power system topology, but the existing graph annotation has confirmed over-connection errors that need repair."",
  ""visible_cues"": [""Single coherent 500KVA box-type substation system topology diagram"", ""No visible watermarks or geometric damage to the diagram"", ""Existing review notes the graph has over-connection issues""]
}"
