panel_id,phase,split,panel_png_path,topology_v1_panel_json_path,v1_5_candidate_score,v1_5_candidate_bucket,known_policy_decision,known_review_label,consensus_label,consensus_decision,consensus_confidence,agreement_count,agent_count,reason
_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG))#panel_000,P1,test,datas/qa_and_png/P1_oda_output/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG)).png,outputs/topology_panel_v1/_P1_staging/QA-D201-16(#1主变110kV侧开关机构箱端子排图(3AP1-FG))#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG))#panel_000,P1,test,datas/qa_and_png/P1_oda_output/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG)).png,outputs/topology_panel_v1/_P1_staging/QA-D301-10(110kV南雄线开关机构箱端子排图(3AP1-FG))#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG))#panel_000,P1,train,datas/qa_and_png/P1_oda_output/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG)).png,outputs/topology_panel_v1/_P1_staging/QA-D302-10(110kV澜河线开关机构箱端子排图(3AP1-FG))#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P2_staging/35kV并联电抗器在监控柜上的端子排(B066-500-1904)wm666.taobao.com#panel_000,P2,val,datas/qa_and_png/P2_oda_output/35kV并联电抗器在监控柜上的端子排(B066-500-1904)wm666.taobao.com.png,outputs/topology_panel_v1/_P2_staging/35kV并联电抗器在监控柜上的端子排(B066-500-1904)wm666.taobao.com#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P3_staging_batch1/07(通信回路背面接线图 )#panel_000,P3,train,datas/qa_and_png/P3_oda_output/07(通信回路背面接线图 ).png,outputs/topology_panel_v1/_P3_staging_batch1/07(通信回路背面接线图 )#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P3_staging_batch1/07(通信回路背面接线图)#panel_000,P3,train,datas/qa_and_png/P3_oda_output/07(通信回路背面接线图).png,outputs/topology_panel_v1/_P3_staging_batch1/07(通信回路背面接线图)#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P3_staging_batch1/09(通信回路背面接线图)#panel_000,P3,train,datas/qa_and_png/P3_oda_output/09(通信回路背面接线图).png,outputs/topology_panel_v1/_P3_staging_batch1/09(通信回路背面接线图)#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图)#panel_000,P3,train,datas/qa_and_png/P3_oda_output/QA-D401-06(10kV开关柜柜顶小母线布置图).png,outputs/topology_panel_v1/_P3_staging_batch1/QA-D401-06(10kV开关柜柜顶小母线布置图)#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P3_staging_batch1/QA-D601-03(10kV#1(#2)站变柜端子排图)#panel_000,P3,train,datas/qa_and_png/P3_oda_output/QA-D601-03(10kV#1(#2)站变柜端子排图).png,outputs/topology_panel_v1/_P3_staging_batch1/QA-D601-03(10kV#1(#2)站变柜端子排图)#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com#panel_000,P3,train,datas/qa_and_png/P3_oda_output/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com.png,outputs/topology_panel_v1/_P3_staging_batch3/#2备用分支在微机保护柜上的端子排(B066-500-0911)wm666.taobao.com#panel_000.topology.v1.json,102,anchor_existing_v1,baseline_accept,accept_v1,accept_clean_topology,auto_accept,0.92,3,3,3/3 agents voted accept_clean_topology
