drawing_key,png_path,json_text_hits,model,model_visible_watermark,model_evidence,model_confidence,elapsed_sec,error,raw_response
_P1_staging/110kV开关站+ABB避雷针高度计算,datas/qa_and_png/P1_oda_output/110kV开关站+ABB避雷针高度计算.png,taobao;淘宝,deepseek-ocr:3b,error,,,0.93,"HTTP Error 500: Internal Server Error; {""error"":""unable to load model: C:\\Users\\LiuYanhong\\.ollama\\models\\blobs\\sha256-3a18673ff291a1d8de94d490877127899356d33a18028d5f3945bf245c11b02c""}",
_P1_staging/110kV开关站+ABB避雷针高度计算,datas/qa_and_png/P1_oda_output/110kV开关站+ABB避雷针高度计算.png,taobao;淘宝,qwen2.5vl:7b,error,,,2.18,"HTTP Error 500: Internal Server Error; {""error"":""memory layout cannot be allocated""}",
_P1_staging/110kV开关站+ABB避雷针高度计算,datas/qa_and_png/P1_oda_output/110kV开关站+ABB避雷针高度计算.png,taobao;淘宝,qwen2.5vl:3b,true,"The image contains Chinese characters that are not part of the engineering drawing itself, such as '天天工作室录制' which translates to 'Tian Tian Studio Recording'.",medium,3.82,,"{
  ""visible_watermark"": true,
  ""evidence"": ""The image contains Chinese characters that are not part of the engineering drawing itself, such as '天天工作室录制' which translates to 'Tian Tian Studio Recording'."",
  ""confidence"": ""medium""
}"
_P1_staging/某医院高低压电气主接线图,datas/qa_and_png/P1_oda_output/某医院高低压电气主接线图.png,taobao;淘宝,deepseek-ocr:3b,error,,,0.73,"HTTP Error 500: Internal Server Error; {""error"":""unable to load model: C:\\Users\\LiuYanhong\\.ollama\\models\\blobs\\sha256-3a18673ff291a1d8de94d490877127899356d33a18028d5f3945bf245c11b02c""}",
_P1_staging/某医院高低压电气主接线图,datas/qa_and_png/P1_oda_output/某医院高低压电气主接线图.png,taobao;淘宝,qwen2.5vl:7b,error,,,2.91,"HTTP Error 500: Internal Server Error; {""error"":""memory layout cannot be allocated""}",
_P1_staging/某医院高低压电气主接线图,datas/qa_and_png/P1_oda_output/某医院高低压电气主接线图.png,taobao;淘宝,qwen2.5vl:3b,true,星欣设计图库,medium,3.47,,"{
  ""visible_watermark"": true,
  ""evidence"": ""星欣设计图库"",
  ""confidence"": ""medium""
}"
_P2_staging/1B1变电所低压系统,datas/qa_and_png/P2_oda_output/1B1变电所低压系统.png,图库;星欣,deepseek-ocr:3b,error,,,0.7,"HTTP Error 500: Internal Server Error; {""error"":""unable to load model: C:\\Users\\LiuYanhong\\.ollama\\models\\blobs\\sha256-3a18673ff291a1d8de94d490877127899356d33a18028d5f3945bf245c11b02c""}",
_P2_staging/1B1变电所低压系统,datas/qa_and_png/P2_oda_output/1B1变电所低压系统.png,图库;星欣,qwen2.5vl:7b,error,,,2.99,"HTTP Error 500: Internal Server Error; {""error"":""memory layout cannot be allocated""}",
_P2_staging/1B1变电所低压系统,datas/qa_and_png/P2_oda_output/1B1变电所低压系统.png,图库;星欣,qwen2.5vl:3b,true,星欣设计图库,high,3.48,,"{
  ""visible_watermark"": true,
  ""evidence"": ""星欣设计图库"",
  ""confidence"": ""high""
}"
_P2_staging/1B2变电所低压系统,datas/qa_and_png/P2_oda_output/1B2变电所低压系统.png,图库;星欣,deepseek-ocr:3b,error,,,0.69,"HTTP Error 500: Internal Server Error; {""error"":""unable to load model: C:\\Users\\LiuYanhong\\.ollama\\models\\blobs\\sha256-3a18673ff291a1d8de94d490877127899356d33a18028d5f3945bf245c11b02c""}",
_P2_staging/1B2变电所低压系统,datas/qa_and_png/P2_oda_output/1B2变电所低压系统.png,图库;星欣,qwen2.5vl:7b,error,,,2.86,"HTTP Error 500: Internal Server Error; {""error"":""memory layout cannot be allocated""}",
_P2_staging/1B2变电所低压系统,datas/qa_and_png/P2_oda_output/1B2变电所低压系统.png,图库;星欣,qwen2.5vl:3b,true,星欣设计图库,high,3.41,,"{
  ""visible_watermark"": true,
  ""evidence"": ""星欣设计图库"",
  ""confidence"": ""high""
}"
_P2_staging/35kv高压配电室电缆沟平面图,datas/qa_and_png/P2_oda_output/35kv高压配电室电缆沟平面图.png,taobao;图库;星欣;淘宝,deepseek-ocr:3b,error,,,0.72,"HTTP Error 500: Internal Server Error; {""error"":""unable to load model: C:\\Users\\LiuYanhong\\.ollama\\models\\blobs\\sha256-3a18673ff291a1d8de94d490877127899356d33a18028d5f3945bf245c11b02c""}",
_P2_staging/35kv高压配电室电缆沟平面图,datas/qa_and_png/P2_oda_output/35kv高压配电室电缆沟平面图.png,taobao;图库;星欣;淘宝,qwen2.5vl:7b,error,,,3.57,"HTTP Error 500: Internal Server Error; {""error"":""memory layout cannot be allocated""}",
