panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags
_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com#panel_000,_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.png,"-25.0,-344.0539,1250.8419,558.7291",outputs/normalized_geometry/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com#panel_000.topology.v1.json,ok,,3198,2067,3975,1218,1995,9,3452,3812,385,0.0727,0.1002,0.7815,high_fragmentation
_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com#panel_000,_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.png,"-49.3622,-347.2136,806.3731,558.8364",outputs/normalized_geometry/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com#panel_000.topology.v1.json,ok,,7147,5939,18360,13804,18555,2,8456,18229,119,0.002,0.2307,0.6231,
_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com#panel_000,_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.png,"-25.0,-350.2307,816.6342,559.2234",outputs/normalized_geometry/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com#panel_000.topology.v1.json,ok,,3410,2087,2790,525,750,19,3041,2663,563,0.1363,0.065,0.6196,high_fragmentation
_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com#panel_000,_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.png,"-28.0934,-327.3572,584.2392,396.7494",outputs/normalized_geometry/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com#panel_000.topology.v1.json,ok,,3131,2464,7801,4835,6554,0,4002,7779,19,0.0004,0.2508,0.4742,
_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com#panel_000,_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.png,"-25.2328,-334.7819,559.0,389.1462",outputs/normalized_geometry/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com#panel_000.topology.v1.json,ok,,1602,1299,3787,1702,2582,20,2564,3569,67,0.0126,0.3488,0.4651,
_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com#panel_000,_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.png,"-26.9006,-336.1797,542.2498,384.3762",outputs/normalized_geometry/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com#panel_000.topology.v1.json,ok,,1520,938,1968,828,1078,4,1813,1927,200,0.0239,0.1012,0.4591,high_fragmentation
_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com#panel_000,_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.png,"-25.0,-340.2083,1691.385,1643.4128",outputs/normalized_geometry/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com#panel_000.topology.v1.json,ok,,3273,1322,6756,3710,5510,0,3879,6750,12,0.0,0.1345,1.0,high_fragmentation
_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com#panel_000,_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.png,"-26.2262,-320.869,818.7589,541.923",outputs/normalized_geometry/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com#panel_000.topology.v1.json,ok,,9006,3587,13889,7698,10778,0,8116,13512,34,0.0001,0.4262,0.6038,
_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com#panel_000,_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com,val,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.png,"-25.0,-345.9343,999.2498,565.1927",outputs/normalized_geometry/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com#panel_000.topology.v1.json,ok,,4783,3192,6784,2917,3643,8,6044,6651,661,0.0227,0.0606,0.6854,high_fragmentation
_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com#panel_000,_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.png,"-25.3524,-332.9726,1178.3715,397.9096",outputs/normalized_geometry/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com#panel_000.topology.v1.json,ok,,6830,3173,12965,7310,10490,4,6919,12853,27,0.0006,0.163,0.7041,
